query,location,pages,target_names
"email directory (@gmail.com OR @outlook.com OR @hotmail.com)",Napoli,3,"FEDERICA|SILVIA|ELISA|GIORGIA|ELENA|ILARIA|CRISTINA|CLAUDIA|STEFANIA|PAOLA"
"email directory (@gmail.com OR @outlook.com OR @hotmail.com)",Firenze,3,"FEDERICA|SILVIA|ELISA|GIORGIA|ELENA|ILARIA|CRISTINA|CLAUDIA|STEFANIA|PAOLA"
"site:facebook.com email (@gmail.com OR @libero.it)",Milano,3,"ANNA|MARIA|GIULIA|SARA|CHIARA|FRANCESCA|ALESSIA|LAURA|MARTINA|VALENTINA"
"site:facebook.com email (@gmail.com OR @libero.it)",Roma,3,"ANNA|MARIA|GIULIA|SARA|CHIARA|FRANCESCA|ALESSIA|LAURA|MARTINA|VALENTINA"
"site:facebook.com email (@gmail.com OR @libero.it)",Napoli,3,"ANNA|MARIA|GIULIA|SARA|CHIARA|FRANCESCA|ALESSIA|LAURA|MARTINA|VALENTINA"
"site:facebook.com email (@gmail.com OR @libero.it)",Torino,3,"FEDERICA|SILVIA|ELISA|GIORGIA|ELENA|ILARIA|CRISTINA|CLAUDIA|STEFANIA|PAOLA"
"site:facebook.com email (@gmail.com OR @libero.it)",Bologna,3,"FEDERICA|SILVIA|ELISA|GIORGIA|ELENA|ILARIA|CRISTINA|CLAUDIA|STEFANIA|PAOLA"
"site:instagram.com email contact (@gmail.com OR @yahoo.it)",Milano,3,"ANNA|MARIA|GIULIA|SARA|CHIARA|FRANCESCA|ALESSIA|LAURA|MARTINA|VALENTINA"
"site:instagram.com email contact (@gmail.com OR @yahoo.it)",Roma,3,"ANNA|MARIA|GIULIA|SARA|CHIARA|FRANCESCA|ALESSIA|LAURA|MARTINA|VALENTINA"
"site:instagram.com email contact (@gmail.com OR @yahoo.it)",Napoli,3,"ANNA|MARIA|GIULIA|SARA|CHIARA|FRANCESCA|ALESSIA|LAURA|MARTINA|VALENTINA"
"site:instagram.com email contact (@gmail.com OR @yahoo.it)",Firenze,3,"FEDERICA|SILVIA|ELISA|GIORGIA|ELENA|ILARIA|CRISTINA|CLAUDIA|STEFANIA|PAOLA"
"site:instagram.com email contact (@gmail.com OR @yahoo.it)",Venezia,3,"FEDERICA|SILVIA|ELISA|GIORGIA|ELENA|ILARIA|CRISTINA|CLAUDIA|STEFANIA|PAOLA"
"site:linkedin.com email (@gmail.com OR @outlook.com)",Milano,3,"ANNA|MARIA|GIULIA|SARA|CHIARA|FRANCESCA|ALESSIA|LAURA|MARTINA|VALENTINA"
"site:linkedin.com email (@gmail.com OR @outlook.com)",Roma,3,"ANNA|MARIA|GIULIA|SARA|CHIARA|FRANCESCA|ALESSIA|LAURA|MARTINA|VALENTINA"
"site:linkedin.com email (@gmail.com OR @outlook.com)",Napoli,3,"ANNA|MARIA|GIULIA|SARA|CHIARA|FRANCESCA|ALESSIA|LAURA|MARTINA|VALENTINA"
"site:linkedin.com email (@gmail.com OR @outlook.com)",Torino,3,"FEDERICA|SILVIA|ELISA|GIORGIA|ELENA|ILARIA|CRISTINA|CLAUDIA|STEFANIA|PAOLA"
"site:about.me email (@gmail.com OR @libero.it)",Milano,3,"ANNA|MARIA|GIULIA|SARA|CHIARA|FRANCESCA|ALESSIA|LAURA|MARTINA|VALENTINA"
"site:about.me email (@gmail.com OR @libero.it)",Roma,3,"ANNA|MARIA|GIULIA|SARA|CHIARA|FRANCESCA|ALESSIA|LAURA|MARTINA|VALENTINA"
"site:about.me email (@gmail.com OR @libero.it)",Napoli,3,"FEDERICA|SILVIA|ELISA|GIORGIA|ELENA|ILARIA|CRISTINA|CLAUDIA|STEFANIA|PAOLA"
"site:about.me email (@gmail.com OR @libero.it)",Bologna,3,"FEDERICA|SILVIA|ELISA|GIORGIA|ELENA|ILARIA|CRISTINA|CLAUDIA|STEFANIA|PAOLA"
